"location_id","make","type","subtype","euro_status","count_vehicles"
12,"Abarth/Fiat","CARS","exc. Off-Road","E5","3"
12,"Abarth/Fiat","CARS","exc. Off-Road","E6","2"
12,"ALFA ROMEO","CARS","exc. Off-Road","E3","3"
12,"ALFA ROMEO","CARS","exc. Off-Road","E4","9"
12,"ALFA ROMEO","CARS","exc. Off-Road","E5","13"
12,"ALFA ROMEO","CARS","exc. Off-Road","E6","3"
12,"ASTON MARTIN","CARS","exc. Off-Road","E5","1"
12,"AUDI","CARS","exc. Off-Road","5","1"
12,"AUDI","CARS","exc. Off-Road","E2","2"
12,"AUDI","CARS","exc. Off-Road","E3","15"
12,"AUDI","CARS","exc. Off-Road","E4","30"
12,"AUDI","CARS","exc. Off-Road","E5","75"
12,"AUDI","CARS","exc. Off-Road","E6","69"
12,"AUDI","CARS","exc. Off-Road","","17"
12,"AUDI","CARS","Off-Road","E4","2"
12,"AUDI","CARS","Off-Road","E5","16"
12,"AUDI","CARS","Off-Road","E6","12"
12,"AUDI","","","","4"
12,"BENTLEY","CARS","exc. Off-Road","E5","2"
12,"BENTLEY","CARS","exc. Off-Road","E6","1"
12,"BENTLEY","CARS","exc. Off-Road","","1"
12,"BENTLEY","CARS","Off-Road","E6","2"
12,"BMW","CARS","exc. Off-Road","E0","1"
12,"BMW","CARS","exc. Off-Road","E1","1"
12,"BMW","CARS","exc. Off-Road","E2","2"
12,"BMW","CARS","exc. Off-Road","E3","21"
12,"BMW","CARS","exc. Off-Road","E4","48"
12,"BMW","CARS","exc. Off-Road","E5","61"
12,"BMW","CARS","exc. Off-Road","E6","86"
12,"BMW","CARS","exc. Off-Road","","8"
12,"BMW","CARS","Off-Road","E3","4"
12,"BMW","CARS","Off-Road","E4","4"
12,"BMW","CARS","Off-Road","E5","16"
12,"BMW","CARS","Off-Road","E6","19"
12,"BMW","","","","3"
12,"CATERHAM","CARS","exc. Off-Road","E0","1"
12,"CHEVROLET","CARS","exc. Off-Road","E4","4"
12,"CHEVROLET","CARS","exc. Off-Road","E5","2"
12,"CHEVROLET","","","","1"
12,"CHRYSLER","CARS","exc. Off-Road","E2","1"
12,"CHRYSLER","CARS","exc. Off-Road","E3","4"
12,"CHRYSLER","CARS","exc. Off-Road","E4","1"
12,"CITROEN","CARS","exc. Off-Road","E2","3"
12,"CITROEN","CARS","exc. Off-Road","E3","23"
12,"CITROEN","CARS","exc. Off-Road","E4","44"
12,"CITROEN","CARS","exc. Off-Road","E5","33"
12,"CITROEN","CARS","exc. Off-Road","E6","15"
12,"CITROEN","CARS","exc. Off-Road","","1"
12,"CITROEN","HCVs","Rigids 2 Axle 3501-7400 Kgs","E4","1"
12,"CITROEN","LCVs","Car-Derived/Integral <2000 Kgs","E3","4"
12,"CITROEN","LCVs","Car-Derived/Integral <2000 Kgs","E4","3"
12,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E3","3"
12,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E4","6"
12,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E5","6"
12,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E6","1"
12,"CITROEN","LCVs","Medium Vans 2001-2600 Kgs","E2","1"
12,"CITROEN","LCVs","Medium Vans 2001-2600 Kgs","E4","4"
12,"CITROEN","LCVs","Medium Vans 2001-2600 Kgs","E5","5"
12,"DACIA","CARS","exc. Off-Road","E5","3"
12,"DACIA","CARS","exc. Off-Road","E6","2"
12,"DACIA","CARS","Off-Road","E5","1"
12,"DAF","HCVs","Rigids 2 Axle >15000 Kgs","E3","2"
12,"DAF","HCVs","Rigids 2 Axle >15000 Kgs","E4","1"
12,"DAF","HCVs","Rigids 2 Axle >15000 Kgs","E5","1"
12,"DAF","HCVs","Rigids 2 Axle 12001-15000 Kgs","E3","2"
12,"DAF","HCVs","Rigids 2 Axle 12001-15000 Kgs","E4","1"
12,"DAF","HCVs","Rigids 2 Axle 7401-7500 Kgs","E4","1"
12,"DAF","HCVs","Rigids 2 Axle 7501-12000 Kgs","E5","1"
12,"DAF","HCVs","Rigids 4 Axle","E4","1"
12,"DAF","","","","1"
12,"DAF TRUCKS","HCVs","Rigids 2 Axle >15000 Kgs","E6","2"
12,"DAF TRUCKS","HCVs","Rigids 2 Axle 7401-7500 Kgs","E5","2"
12,"DAF TRUCKS","HCVs","Rigids 2 Axle 7501-12000 Kgs","E6","1"
12,"DAF TRUCKS","HCVs","Rigids 3 Axle","E6","1"
12,"DAIHATSU","CARS","exc. Off-Road","E3","1"
12,"DAIHATSU","CARS","exc. Off-Road","E4","1"
12,"DAIHATSU","LCVs","Car-Derived/Integral <2000 Kgs","E2","1"
12,"DENNIS EAGLE","HCVs","Rigids 3 Axle","E3","1"
12,"DENNIS EAGLE","HCVs","Rigids 3 Axle","E5","3"
12,"DENNIS EAGLE","HCVs","Rigids 3 Axle","E6","1"
12,"DS","CARS","exc. Off-Road","E6","1"
12,"FIAT","CARS","exc. Off-Road","E1","1"
12,"FIAT","CARS","exc. Off-Road","E3","2"
12,"FIAT","CARS","exc. Off-Road","E4","36"
12,"FIAT","CARS","exc. Off-Road","E5","27"
12,"FIAT","CARS","exc. Off-Road","E6","22"
12,"FIAT","CARS","exc. Off-Road","","2"
12,"FIAT","LCVs","Car-Derived/Integral <2000 Kgs","E3","1"
12,"FIAT","LCVs","Heavy Vans 2601-3500 Kgs","E4","1"
12,"FIAT","LCVs","Heavy Vans 2601-3500 Kgs","E6","1"
12,"FIAT","LCVs","Heavy Vans 2601-3500 Kgs","","1"
12,"FIAT","LCVs","Medium Vans 2001-2600 Kgs","E3","1"
12,"FIAT","LCVs","Medium Vans 2001-2600 Kgs","E5","2"
12,"FIAT","","","","1"
12,"FORD","CARS","exc. Off-Road","E0","3"
12,"FORD","CARS","exc. Off-Road","E1","2"
12,"FORD","CARS","exc. Off-Road","E2","24"
12,"FORD","CARS","exc. Off-Road","E3","41"
12,"FORD","CARS","exc. Off-Road","E4","120"
12,"FORD","CARS","exc. Off-Road","E5","93"
12,"FORD","CARS","exc. Off-Road","E6","42"
12,"FORD","CARS","exc. Off-Road","","15"
12,"FORD","CARS","Off-Road","E4","1"
12,"FORD","CARS","Off-Road","E5","2"
12,"FORD","CARS","Off-Road","E6","6"
12,"FORD","HCVs","Rigids 2 Axle 3501-7400 Kgs","E3","1"
12,"FORD","HCVs","Rigids 2 Axle 3501-7400 Kgs","E4","1"
12,"FORD","HCVs","Rigids 2 Axle 3501-7400 Kgs","E5","4"
12,"FORD","HCVs","Rigids 2 Axle 3501-7400 Kgs","E6","6"
12,"FORD","LCVs","Car-Derived/Integral <2000 Kgs","E2","1"
12,"FORD","LCVs","Car-Derived/Integral <2000 Kgs","E3","1"
12,"FORD","LCVs","Car-Derived/Integral <2000 Kgs","E5","4"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E1","1"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E2","6"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E3","6"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E4","35"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E5","38"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E6","12"
12,"FORD","LCVs","Medium Vans 2001-2600 Kgs","E3","12"
12,"FORD","LCVs","Medium Vans 2001-2600 Kgs","E4","11"
12,"FORD","LCVs","Medium Vans 2001-2600 Kgs","E5","3"
12,"FORD","LCVs","Medium Vans 2001-2600 Kgs","E6","2"
12,"FORD","","","","8"
12,"HARLEY DAVIDSON","2/3 Wheelers","Motorcycles & Scooters","","1"
12,"HONDA","2/3 Wheelers","Motorcycles & Scooters","","4"
12,"HONDA","CARS","exc. Off-Road","E2","1"
12,"HONDA","CARS","exc. Off-Road","E3","27"
12,"HONDA","CARS","exc. Off-Road","E4","16"
12,"HONDA","CARS","exc. Off-Road","E5","39"
12,"HONDA","CARS","exc. Off-Road","E6","11"
12,"HONDA","CARS","exc. Off-Road","","18"
12,"HONDA","CARS","Off-Road","E4","2"
12,"HONDA","CARS","Off-Road","E5","7"
12,"HONDA","CARS","Off-Road","E6","8"
12,"HONDA","CARS","Off-Road","","9"
12,"HYUNDAI","CARS","exc. Off-Road","E2","2"
12,"HYUNDAI","CARS","exc. Off-Road","E3","4"
12,"HYUNDAI","CARS","exc. Off-Road","E4","15"
12,"HYUNDAI","CARS","exc. Off-Road","E5","25"
12,"HYUNDAI","CARS","exc. Off-Road","E6","7"
12,"HYUNDAI","CARS","exc. Off-Road","","3"
12,"HYUNDAI","CARS","Off-Road","E5","3"
12,"HYUNDAI","CARS","Off-Road","E6","8"
12,"INFINITI","CARS","exc. Off-Road","E5","1"
12,"INFINITI","CARS","Off-Road","E5","1"
12,"INVALID","SPVs","Agricultural & Specialist","","1"
12,"ISUZU","CARS","Off-Road","","1"
12,"ISUZU","HCVs","Rigids 2 Axle 7401-7500 Kgs","E6","1"
12,"ISUZU","HCVs","Rigids 2 Axle 7501-12000 Kgs","E5","1"
12,"ISUZU","LCVs","Heavy Vans 2601-3500 Kgs","E5","2"
12,"ISUZU","LCVs","Pickups","E6","1"
12,"ISUZU TRUCKS","HCVs","Rigids 2 Axle 7401-7500 Kgs","E5","1"
12,"ISUZU TRUCKS","LCVs","Heavy Vans 2601-3500 Kgs","E5","1"
12,"IVECO","HCVs","Rigids 2 Axle 3501-7400 Kgs","E5","2"
12,"IVECO","HCVs","Rigids 2 Axle 7401-7500 Kgs","E5","1"
12,"IVECO","HCVs","Rigids 2 Axle 7401-7500 Kgs","E6","1"
12,"IVECO","LCVs","Heavy Vans 2601-3500 Kgs","E2","1"
12,"IVECO","LCVs","Heavy Vans 2601-3500 Kgs","E5","2"
12,"JAGUAR","CARS","exc. Off-Road","E3","1"
12,"JAGUAR","CARS","exc. Off-Road","E4","5"
12,"JAGUAR","CARS","exc. Off-Road","E5","8"
12,"JAGUAR","CARS","exc. Off-Road","E6","9"
12,"JAGUAR","CARS","exc. Off-Road","","1"
12,"JCB","SPVs","Agricultural & Specialist","","2"
12,"JEEP","CARS","Off-Road","E1","1"
12,"JEEP","CARS","Off-Road","E2","1"
12,"JEEP","CARS","Off-Road","E4","1"
12,"JEEP","CARS","Off-Road","E6","1"
12,"JEEP","CARS","Off-Road","","1"
12,"JEEP","","","","1"
12,"KIA","CARS","exc. Off-Road","E3","1"
12,"KIA","CARS","exc. Off-Road","E4","9"
12,"KIA","CARS","exc. Off-Road","E5","25"
12,"KIA","CARS","exc. Off-Road","E6","14"
12,"KIA","CARS","exc. Off-Road","","3"
12,"KIA","CARS","Off-Road","E4","1"
12,"KIA","CARS","Off-Road","E5","5"
12,"KIA","CARS","Off-Road","E6","13"
12,"KIA","CARS","Off-Road","","1"
12,"KIA","","","","4"
12,"LAND ROVER","CARS","Off-Road","E1","1"
12,"LAND ROVER","CARS","Off-Road","E4","11"
12,"LAND ROVER","CARS","Off-Road","E5","39"
12,"LAND ROVER","CARS","Off-Road","E6","47"
12,"LAND ROVER","CARS","Off-Road","","19"
12,"LAND ROVER","LCVs","4x4 Utilities","E0","3"
12,"LAND ROVER","LCVs","4x4 Utilities","E1","2"
12,"LAND ROVER","LCVs","4x4 Utilities","E2","2"
12,"LAND ROVER","LCVs","4x4 Utilities","E3","3"
12,"LAND ROVER","LCVs","4x4 Utilities","E4","3"
12,"LAND ROVER","LCVs","4x4 Utilities","E5","2"
12,"LAND ROVER","LCVs","Car-Derived/Integral <2000 Kgs","E5","1"
12,"LAND ROVER","","","","6"
12,"LDV","LCVs","Heavy Vans 2601-3500 Kgs","E3","1"
12,"LDV","LCVs","Heavy Vans 2601-3500 Kgs","E4","1"
12,"LDV","LCVs","Medium Vans 2001-2600 Kgs","E2","1"
12,"LEXUS","CARS","exc. Off-Road","E4","7"
12,"LEXUS","CARS","exc. Off-Road","E5","2"
12,"LEXUS","CARS","exc. Off-Road","E6","1"
12,"LEXUS","CARS","exc. Off-Road","","1"
12,"LEXUS","CARS","Off-Road","E4","10"
12,"LEXUS","CARS","Off-Road","E6","3"
12,"LEXUS","CARS","Off-Road","","4"
12,"LOTUS","","","","1"
12,"MAN","HCVs","Artics >32520 Kgs - 2 Axle Tractor","E4","1"
12,"MAN","HCVs","Rigids 2 Axle 7401-7500 Kgs","E5","2"
12,"MAN","HCVs","Rigids 2 Axle 7501-12000 Kgs","E4","1"
12,"MASSEY FERGUSON/HARRIS","SPVs","Agricultural & Specialist","","1"
12,"MAZDA","CARS","exc. Off-Road","E3","7"
12,"MAZDA","CARS","exc. Off-Road","E4","33"
12,"MAZDA","CARS","exc. Off-Road","E5","24"
12,"MAZDA","CARS","exc. Off-Road","E6","15"
12,"MAZDA","CARS","exc. Off-Road","","3"
12,"MAZDA","CARS","Off-Road","E5","3"
12,"MAZDA","CARS","Off-Road","E6","5"
12,"MAZDA","LCVs","Heavy Vans 2601-3500 Kgs","E2","1"
12,"MAZDA","","","","7"
12,"MERCEDES","CARS","exc. Off-Road","E0","2"
12,"MERCEDES","CARS","exc. Off-Road","E1","2"
12,"MERCEDES","CARS","exc. Off-Road","E2","6"
12,"MERCEDES","CARS","exc. Off-Road","E3","11"
12,"MERCEDES","CARS","exc. Off-Road","E4","31"
12,"MERCEDES","CARS","exc. Off-Road","E5","49"
12,"MERCEDES","CARS","exc. Off-Road","E6","51"
12,"MERCEDES","CARS","exc. Off-Road","","6"
12,"MERCEDES","CARS","Off-Road","E5","3"
12,"MERCEDES","CARS","Off-Road","E6","17"
12,"MERCEDES","CARS","Off-Road","","3"
12,"MERCEDES","HCVs","Artics >32520 Kgs - 2 Axle Tractor","E3","1"
12,"MERCEDES","HCVs","Rigids 2 Axle 3501-7400 Kgs","E4","1"
12,"MERCEDES","HCVs","Rigids 2 Axle 3501-7400 Kgs","E5","4"
12,"MERCEDES","HCVs","Rigids 2 Axle 7501-12000 Kgs","E3","1"
12,"MERCEDES","LCVs","Heavy Vans 2601-3500 Kgs","E3","1"
12,"MERCEDES","LCVs","Heavy Vans 2601-3500 Kgs","E4","7"
12,"MERCEDES","LCVs","Heavy Vans 2601-3500 Kgs","E5","37"
12,"MERCEDES","LCVs","Heavy Vans 2601-3500 Kgs","E6","11"
12,"MERCEDES","LCVs","Medium Vans 2001-2600 Kgs","E5","4"
12,"MERCEDES","","","","1"
12,"MERCEDES-BENZ","","","","2"
12,"MG","CARS","exc. Off-Road","E3","5"
12,"MG","CARS","exc. Off-Road","","1"
12,"MINI","CARS","exc. Off-Road","E3","7"
12,"MINI","CARS","exc. Off-Road","E4","26"
12,"MINI","CARS","exc. Off-Road","E5","58"
12,"MINI","CARS","exc. Off-Road","E6","44"
12,"MINI","CARS","exc. Off-Road","","11"
12,"MINI","","","","2"
12,"MITSUBISHI","CARS","exc. Off-Road","E2","1"
12,"MITSUBISHI","CARS","exc. Off-Road","E3","3"
12,"MITSUBISHI","CARS","exc. Off-Road","E4","3"
12,"MITSUBISHI","CARS","exc. Off-Road","E5","5"
12,"MITSUBISHI","CARS","exc. Off-Road","","3"
12,"MITSUBISHI","CARS","Off-Road","E4","3"
12,"MITSUBISHI","CARS","Off-Road","E5","7"
12,"MITSUBISHI","CARS","Off-Road","E6","3"
12,"MITSUBISHI","CARS","Off-Road","","5"
12,"MITSUBISHI","HCVs","Rigids 2 Axle 3501-7400 Kgs","E2","1"
12,"MITSUBISHI","HCVs","Rigids 2 Axle 7401-7500 Kgs","E5","2"
12,"MITSUBISHI","LCVs","4x4 Utilities","E2","1"
12,"MITSUBISHI","LCVs","Car-Type Pick-Up 2001-2600 Kgs","E3","2"
12,"MITSUBISHI","LCVs","Car-Type Pick-Up 2001-2600 Kgs","E4","2"
12,"MITSUBISHI","LCVs","Heavy Vans 2601-3500 Kgs","E2","1"
12,"MITSUBISHI","LCVs","Heavy Vans 2601-3500 Kgs","E5","1"
12,"MITSUBISHI","LCVs","Heavy Vans 2601-3500 Kgs","E6","1"
12,"MORGAN","CARS","exc. Off-Road","E4","1"
12,"NISSAN","CARS","exc. Off-Road","E2","5"
12,"NISSAN","CARS","exc. Off-Road","E3","31"
12,"NISSAN","CARS","exc. Off-Road","E4","21"
12,"NISSAN","CARS","exc. Off-Road","E5","47"
12,"NISSAN","CARS","exc. Off-Road","E6","7"
12,"NISSAN","CARS","exc. Off-Road","","8"
12,"NISSAN","CARS","Off-Road","E4","3"
12,"NISSAN","CARS","Off-Road","E6","4"
12,"NISSAN","LCVs","Heavy Vans 2601-3500 Kgs","E1","1"
12,"NISSAN","LCVs","Heavy Vans 2601-3500 Kgs","E3","3"
12,"NISSAN","LCVs","Heavy Vans 2601-3500 Kgs","E4","5"
12,"NISSAN","LCVs","Heavy Vans 2601-3500 Kgs","E5","4"
12,"NISSAN","LCVs","Heavy Vans 2601-3500 Kgs","E6","1"
12,"NISSAN","LCVs","Medium Vans 2001-2600 Kgs","E5","1"
12,"NISSAN","LCVs","Medium Vans 2001-2600 Kgs","E6","1"
12,"NISSAN","LCVs","Medium Vans 2001-2600 Kgs","","2"
12,"NISSAN","","","","4"
12,"OPEL","CARS","exc. Off-Road","","1"
12,"OPEL","","","","2"
12,"OPTARE","PSVs","Fare Stage Buses","E4","2"
12,"PEUGEOT","2/3 Wheelers","Motorcycles & Scooters","","1"
12,"PEUGEOT","CARS","exc. Off-Road","E1","1"
12,"PEUGEOT","CARS","exc. Off-Road","E2","4"
12,"PEUGEOT","CARS","exc. Off-Road","E3","32"
12,"PEUGEOT","CARS","exc. Off-Road","E4","56"
12,"PEUGEOT","CARS","exc. Off-Road","E5","33"
12,"PEUGEOT","CARS","exc. Off-Road","E6","9"
12,"PEUGEOT","CARS","exc. Off-Road","","6"
12,"PEUGEOT","LCVs","Car-Derived/Integral <2000 Kgs","E3","1"
12,"PEUGEOT","LCVs","Car-Derived/Integral <2000 Kgs","E4","2"
12,"PEUGEOT","LCVs","Heavy Vans 2601-3500 Kgs","E3","2"
12,"PEUGEOT","LCVs","Heavy Vans 2601-3500 Kgs","E5","5"
12,"PEUGEOT","LCVs","Heavy Vans 2601-3500 Kgs","E6","2"
12,"PEUGEOT","LCVs","Medium Vans 2001-2600 Kgs","E3","2"
12,"PEUGEOT","LCVs","Medium Vans 2001-2600 Kgs","E4","3"
12,"PEUGEOT","LCVs","Medium Vans 2001-2600 Kgs","E5","2"
12,"PIAGGIO","2/3 Wheelers","Motorcycles & Scooters","","1"
