"quadrant","make","type","subtype","euro_status","count_vehicles"
1,"Abarth/Fiat","CARS","exc. Off-Road","E4","4"
1,"Abarth/Fiat","CARS","exc. Off-Road","E5","24"
1,"Abarth/Fiat","CARS","exc. Off-Road","E6","22"
1,"ALEXANDER DENNIS","PSVs","Fare Stage Buses","E4","40"
1,"ALEXANDER DENNIS","PSVs","Fare Stage Buses","E5","16"
1,"ALEXANDER DENNIS","PSVs","Fare Stage Buses","E6","32"
1,"ALEXANDER DENNIS","PSVs","Fare Stage Buses","","42"
1,"ALFA ROMEO","CARS","exc. Off-Road","E2","4"
1,"ALFA ROMEO","CARS","exc. Off-Road","E3","44"
1,"ALFA ROMEO","CARS","exc. Off-Road","E4","46"
1,"ALFA ROMEO","CARS","exc. Off-Road","E5","62"
1,"ALFA ROMEO","CARS","exc. Off-Road","E6","28"
1,"ALFA ROMEO","CARS","exc. Off-Road","","6"
1,"APRILIA","2/3 Wheelers","Motorcycles & Scooters","","8"
1,"ASTON MARTIN","CARS","exc. Off-Road","E4","6"
1,"ASTON MARTIN","CARS","exc. Off-Road","E5","6"
1,"AUDI","CARS","exc. Off-Road","5","16"
1,"AUDI","CARS","exc. Off-Road","6","24"
1,"AUDI","CARS","exc. Off-Road","E1","8"
1,"AUDI","CARS","exc. Off-Road","E2","72"
1,"AUDI","CARS","exc. Off-Road","E3","314"
1,"AUDI","CARS","exc. Off-Road","E4","542"
1,"AUDI","CARS","exc. Off-Road","E5","1006"
1,"AUDI","CARS","exc. Off-Road","E6","776"
1,"AUDI","CARS","exc. Off-Road","","282"
1,"AUDI","CARS","Off-Road","6","2"
1,"AUDI","CARS","Off-Road","E4","54"
1,"AUDI","CARS","Off-Road","E5","122"
1,"AUDI","CARS","Off-Road","E6","162"
1,"AUDI","","","","28"
1,"AUSTIN","CARS","exc. Off-Road","E0","2"
1,"AUSTIN","","","","2"
1,"BEDFORD","LCVs","Medium Vans 2001-2600 Kgs","E0","2"
1,"BENTLEY","CARS","exc. Off-Road","E4","4"
1,"BENTLEY","CARS","exc. Off-Road","E5","6"
1,"BENTLEY","CARS","exc. Off-Road","E6","6"
1,"BMW","2/3 Wheelers","Motorcycles & Scooters","","8"
