"location_id","make","type","subtype","euro_status","count_vehicles"
12,"Abarth/Fiat","CARS","exc. Off-Road","E5","7"
12,"Abarth/Fiat","CARS","exc. Off-Road","E6","11"
12,"ALFA ROMEO","CARS","exc. Off-Road","E3","3"
12,"ALFA ROMEO","CARS","exc. Off-Road","E4","13"
12,"ALFA ROMEO","CARS","exc. Off-Road","E5","18"
12,"ALFA ROMEO","CARS","exc. Off-Road","E6","4"
12,"ASTON MARTIN","CARS","exc. Off-Road","E5","1"
12,"AUDI","CARS","exc. Off-Road","5","2"
12,"AUDI","CARS","exc. Off-Road","E2","3"
12,"AUDI","CARS","exc. Off-Road","E3","47"
12,"AUDI","CARS","exc. Off-Road","E4","73"
12,"AUDI","CARS","exc. Off-Road","E5","164"
12,"AUDI","CARS","exc. Off-Road","E6","224"
12,"AUDI","CARS","exc. Off-Road","","43"
12,"AUDI","CARS","Off-Road","E4","3"
12,"AUDI","CARS","Off-Road","E5","76"
12,"AUDI","CARS","Off-Road","E6","35"
12,"AUDI","","","","9"
12,"BENTLEY","CARS","exc. Off-Road","E5","2"
12,"BENTLEY","CARS","exc. Off-Road","E6","2"
12,"BENTLEY","CARS","exc. Off-Road","","3"
12,"BENTLEY","CARS","Off-Road","E6","2"
12,"BMW","CARS","exc. Off-Road","E0","1"
12,"BMW","CARS","exc. Off-Road","E1","1"
12,"BMW","CARS","exc. Off-Road","E2","4"
12,"BMW","CARS","exc. Off-Road","E3","52"
12,"BMW","CARS","exc. Off-Road","E4","102"
12,"BMW","CARS","exc. Off-Road","E5","158"
12,"BMW","CARS","exc. Off-Road","E6","245"
12,"BMW","CARS","exc. Off-Road","","27"
12,"BMW","CARS","Off-Road","E3","14"
12,"BMW","CARS","Off-Road","E4","19"
12,"BMW","CARS","Off-Road","E5","58"
12,"BMW","CARS","Off-Road","E6","57"
12,"BMW","","","","4"
12,"CATERHAM","CARS","exc. Off-Road","E0","1"
12,"CHEVROLET","CARS","exc. Off-Road","E4","17"
12,"CHEVROLET","CARS","exc. Off-Road","E5","2"
12,"CHEVROLET","","","","1"
12,"CHRYSLER","CARS","exc. Off-Road","E2","1"
12,"CHRYSLER","CARS","exc. Off-Road","E3","6"
12,"CHRYSLER","CARS","exc. Off-Road","E4","2"
12,"CITROEN","CARS","exc. Off-Road","E2","3"
12,"CITROEN","CARS","exc. Off-Road","E3","63"
12,"CITROEN","CARS","exc. Off-Road","E4","145"
12,"CITROEN","CARS","exc. Off-Road","E5","79"
12,"CITROEN","CARS","exc. Off-Road","E6","46"
12,"CITROEN","CARS","exc. Off-Road","","1"
12,"CITROEN","HCVs","Rigids 2 Axle 3501-7400 Kgs","E4","1"
12,"CITROEN","LCVs","Car-Derived/Integral <2000 Kgs","E3","4"
12,"CITROEN","LCVs","Car-Derived/Integral <2000 Kgs","E4","5"
12,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E3","3"
12,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E4","19"
12,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E5","9"
12,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E6","2"
12,"CITROEN","LCVs","Medium Vans 2001-2600 Kgs","E2","1"
12,"CITROEN","LCVs","Medium Vans 2001-2600 Kgs","E4","4"
12,"CITROEN","LCVs","Medium Vans 2001-2600 Kgs","E5","5"
12,"DACIA","CARS","exc. Off-Road","E5","5"
12,"DACIA","CARS","exc. Off-Road","E6","2"
12,"DACIA","CARS","Off-Road","E5","9"
12,"DAF","HCVs","Rigids 2 Axle >15000 Kgs","E3","2"
12,"DAF","HCVs","Rigids 2 Axle >15000 Kgs","E4","1"
12,"DAF","HCVs","Rigids 2 Axle >15000 Kgs","E5","1"
12,"DAF","HCVs","Rigids 2 Axle 12001-15000 Kgs","E3","2"
12,"DAF","HCVs","Rigids 2 Axle 12001-15000 Kgs","E4","1"
12,"DAF","HCVs","Rigids 2 Axle 7401-7500 Kgs","E4","1"
12,"DAF","HCVs","Rigids 2 Axle 7501-12000 Kgs","E5","1"
12,"DAF","HCVs","Rigids 4 Axle","E4","1"
12,"DAF","","","","1"
12,"DAF TRUCKS","HCVs","Rigids 2 Axle >15000 Kgs","E6","2"
12,"DAF TRUCKS","HCVs","Rigids 2 Axle 7401-7500 Kgs","E5","2"
12,"DAF TRUCKS","HCVs","Rigids 2 Axle 7501-12000 Kgs","E6","1"
12,"DAF TRUCKS","HCVs","Rigids 3 Axle","E6","1"
12,"DAIHATSU","CARS","exc. Off-Road","E3","1"
12,"DAIHATSU","CARS","exc. Off-Road","E4","11"
12,"DAIHATSU","LCVs","Car-Derived/Integral <2000 Kgs","E2","2"
12,"DENNIS EAGLE","HCVs","Rigids 3 Axle","E3","1"
12,"DENNIS EAGLE","HCVs","Rigids 3 Axle","E5","3"
12,"DENNIS EAGLE","HCVs","Rigids 3 Axle","E6","1"
12,"DS","CARS","exc. Off-Road","E6","1"
12,"FIAT","CARS","exc. Off-Road","E1","1"
12,"FIAT","CARS","exc. Off-Road","E3","8"
12,"FIAT","CARS","exc. Off-Road","E4","111"
12,"FIAT","CARS","exc. Off-Road","E5","67"
12,"FIAT","CARS","exc. Off-Road","E6","58"
12,"FIAT","CARS","exc. Off-Road","","4"
12,"FIAT","LCVs","Car-Derived/Integral <2000 Kgs","E3","2"
12,"FIAT","LCVs","Heavy Vans 2601-3500 Kgs","E4","3"
12,"FIAT","LCVs","Heavy Vans 2601-3500 Kgs","E6","1"
12,"FIAT","LCVs","Heavy Vans 2601-3500 Kgs","","1"
12,"FIAT","LCVs","Medium Vans 2001-2600 Kgs","E3","1"
12,"FIAT","LCVs","Medium Vans 2001-2600 Kgs","E5","2"
12,"FIAT","","","","1"
12,"FORD","CARS","exc. Off-Road","E0","5"
12,"FORD","CARS","exc. Off-Road","E1","4"
12,"FORD","CARS","exc. Off-Road","E2","67"
12,"FORD","CARS","exc. Off-Road","E3","97"
12,"FORD","CARS","exc. Off-Road","E4","330"
12,"FORD","CARS","exc. Off-Road","E5","239"
12,"FORD","CARS","exc. Off-Road","E6","126"
12,"FORD","CARS","exc. Off-Road","","33"
12,"FORD","CARS","Off-Road","E4","1"
12,"FORD","CARS","Off-Road","E5","5"
12,"FORD","CARS","Off-Road","E6","17"
12,"FORD","HCVs","Rigids 2 Axle 3501-7400 Kgs","E3","1"
12,"FORD","HCVs","Rigids 2 Axle 3501-7400 Kgs","E4","1"
12,"FORD","HCVs","Rigids 2 Axle 3501-7400 Kgs","E5","12"
12,"FORD","HCVs","Rigids 2 Axle 3501-7400 Kgs","E6","13"
12,"FORD","LCVs","Car-Derived/Integral <2000 Kgs","E2","1"
12,"FORD","LCVs","Car-Derived/Integral <2000 Kgs","E3","1"
12,"FORD","LCVs","Car-Derived/Integral <2000 Kgs","E5","13"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E1","1"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E2","13"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E3","9"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E4","56"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E5","61"
12,"FORD","LCVs","Heavy Vans 2601-3500 Kgs","E6","25"
12,"FORD","LCVs","Medium Vans 2001-2600 Kgs","E3","13"
12,"FORD","LCVs","Medium Vans 2001-2600 Kgs","E4","13"
12,"FORD","LCVs","Medium Vans 2001-2600 Kgs","E5","3"
12,"FORD","LCVs","Medium Vans 2001-2600 Kgs","E6","2"
12,"FORD","","","","32"
12,"HARLEY DAVIDSON","2/3 Wheelers","Motorcycles & Scooters","","2"
12,"HONDA","2/3 Wheelers","Motorcycles & Scooters","","4"
12,"HONDA","CARS","exc. Off-Road","E2","1"
12,"HONDA","CARS","exc. Off-Road","E3","45"
12,"HONDA","CARS","exc. Off-Road","E4","48"
12,"HONDA","CARS","exc. Off-Road","E5","108"
12,"HONDA","CARS","exc. Off-Road","E6","27"
12,"HONDA","CARS","exc. Off-Road","","54"
12,"HONDA","CARS","Off-Road","E4","6"
12,"HONDA","CARS","Off-Road","E5","17"
12,"HONDA","CARS","Off-Road","E6","28"
12,"HONDA","CARS","Off-Road","","22"
12,"HYUNDAI","CARS","exc. Off-Road","E2","4"
12,"HYUNDAI","CARS","exc. Off-Road","E3","12"
12,"HYUNDAI","CARS","exc. Off-Road","E4","33"
12,"HYUNDAI","CARS","exc. Off-Road","E5","76"
12,"HYUNDAI","CARS","exc. Off-Road","E6","10"
12,"HYUNDAI","CARS","exc. Off-Road","","8"
12,"HYUNDAI","CARS","Off-Road","E5","5"
12,"HYUNDAI","CARS","Off-Road","E6","22"
12,"INFINITI","CARS","exc. Off-Road","E5","1"
12,"INFINITI","CARS","Off-Road","E5","7"
12,"INVALID","SPVs","Agricultural & Specialist","","1"
12,"ISUZU","CARS","Off-Road","","2"
12,"ISUZU","HCVs","Rigids 2 Axle 7401-7500 Kgs","E6","1"
12,"ISUZU","HCVs","Rigids 2 Axle 7501-12000 Kgs","E5","1"
12,"ISUZU","LCVs","Heavy Vans 2601-3500 Kgs","E5","2"
12,"ISUZU","LCVs","Pickups","E6","1"
12,"ISUZU TRUCKS","HCVs","Rigids 2 Axle 7401-7500 Kgs","E5","2"
12,"ISUZU TRUCKS","LCVs","Heavy Vans 2601-3500 Kgs","E5","1"
12,"IVECO","HCVs","Rigids 2 Axle 3501-7400 Kgs","E5","2"
12,"IVECO","HCVs","Rigids 2 Axle 7401-7500 Kgs","E5","2"
12,"IVECO","HCVs","Rigids 2 Axle 7401-7500 Kgs","E6","1"
12,"IVECO","LCVs","Heavy Vans 2601-3500 Kgs","E2","1"
12,"IVECO","LCVs","Heavy Vans 2601-3500 Kgs","E5","8"
