"quadrant","make","type","subtype","euro_status","count_vehicles"
1,"Abarth/Fiat","CARS","exc. Off-Road","E4","6"
1,"Abarth/Fiat","CARS","exc. Off-Road","E5","38"
1,"Abarth/Fiat","CARS","exc. Off-Road","E6","46"
1,"ALEXANDER DENNIS","PSVs","Fare Stage Buses","E4","204"
1,"ALEXANDER DENNIS","PSVs","Fare Stage Buses","E5","74"
1,"ALEXANDER DENNIS","PSVs","Fare Stage Buses","E6","164"
1,"ALEXANDER DENNIS","PSVs","Fare Stage Buses","","290"
1,"ALFA ROMEO","CARS","exc. Off-Road","E2","4"
1,"ALFA ROMEO","CARS","exc. Off-Road","E3","102"
1,"ALFA ROMEO","CARS","exc. Off-Road","E4","62"
1,"ALFA ROMEO","CARS","exc. Off-Road","E5","116"
1,"ALFA ROMEO","CARS","exc. Off-Road","E6","36"
1,"ALFA ROMEO","CARS","exc. Off-Road","","28"
1,"APRILIA","2/3 Wheelers","Motorcycles & Scooters","","8"
1,"ASTON MARTIN","CARS","exc. Off-Road","E4","6"
1,"ASTON MARTIN","CARS","exc. Off-Road","E5","20"
1,"AUDI","CARS","exc. Off-Road","5","48"
1,"AUDI","CARS","exc. Off-Road","6","58"
1,"AUDI","CARS","exc. Off-Road","E1","10"
1,"AUDI","CARS","exc. Off-Road","E2","154"
1,"AUDI","CARS","exc. Off-Road","E3","742"
1,"AUDI","CARS","exc. Off-Road","E4","1106"
1,"AUDI","CARS","exc. Off-Road","E5","2102"
1,"AUDI","CARS","exc. Off-Road","E6","1560"
1,"AUDI","CARS","exc. Off-Road","","626"
1,"AUDI","CARS","Off-Road","6","2"
1,"AUDI","CARS","Off-Road","E4","136"
1,"AUDI","CARS","Off-Road","E5","228"
1,"AUDI","CARS","Off-Road","E6","392"
1,"AUDI","","","","46"
1,"AUSTIN","CARS","exc. Off-Road","E0","2"
1,"AUSTIN","","","","2"
1,"BEDFORD","LCVs","Medium Vans 2001-2600 Kgs","E0","2"
1,"BENTLEY","CARS","exc. Off-Road","E4","6"
1,"BENTLEY","CARS","exc. Off-Road","E5","6"
1,"BENTLEY","CARS","exc. Off-Road","E6","6"
1,"BMW","2/3 Wheelers","Motorcycles & Scooters","","8"
1,"BMW","CARS","exc. Off-Road","E0","16"
1,"BMW","CARS","exc. Off-Road","E1","12"
1,"BMW","CARS","exc. Off-Road","E2","66"
1,"BMW","CARS","exc. Off-Road","E3","660"
1,"BMW","CARS","exc. Off-Road","E4","1738"
1,"BMW","CARS","exc. Off-Road","E5","2198"
1,"BMW","CARS","exc. Off-Road","E6","2284"
1,"BMW","CARS","exc. Off-Road","","254"
1,"BMW","CARS","Off-Road","E3","110"
1,"BMW","CARS","Off-Road","E4","128"
1,"BMW","CARS","Off-Road","E5","364"
1,"BMW","CARS","Off-Road","E6","362"
1,"BMW","CARS","Off-Road","","6"
1,"BMW","","","","72"
1,"BOVA","PSVs","Light & Heavy Coaches","","2"
1,"CAETANO","PSVs","Light & Heavy Coaches","E6","16"
1,"CARBODIES","CARS","exc. Off-Road","E0","2"
1,"CASE INTERNATIONAL","SPVs","Agricultural & Specialist","","2"
1,"CHAUSSON","","","","2"
1,"CHEVROLET","CARS","exc. Off-Road","E4","316"
1,"CHEVROLET","CARS","exc. Off-Road","E5","134"
1,"CHEVROLET","CARS","exc. Off-Road","","56"
1,"CHEVROLET","CARS","Off-Road","E4","12"
1,"CHRYSLER","CARS","exc. Off-Road","E2","4"
1,"CHRYSLER","CARS","exc. Off-Road","E3","58"
1,"CHRYSLER","CARS","exc. Off-Road","E4","24"
1,"CHRYSLER","CARS","exc. Off-Road","E5","22"
1,"CHRYSLER","CARS","exc. Off-Road","","26"
1,"CITROEN","CARS","exc. Off-Road","E0","2"
1,"CITROEN","CARS","exc. Off-Road","E1","4"
1,"CITROEN","CARS","exc. Off-Road","E2","22"
1,"CITROEN","CARS","exc. Off-Road","E3","1098"
1,"CITROEN","CARS","exc. Off-Road","E4","2358"
1,"CITROEN","CARS","exc. Off-Road","E5","2232"
1,"CITROEN","CARS","exc. Off-Road","E6","1024"
1,"CITROEN","CARS","exc. Off-Road","","240"
1,"CITROEN","CARS","Off-Road","E4","34"
1,"CITROEN","CARS","Off-Road","E5","6"
1,"CITROEN","LCVs","Car-Derived/Integral <2000 Kgs","E2","14"
1,"CITROEN","LCVs","Car-Derived/Integral <2000 Kgs","E3","250"
1,"CITROEN","LCVs","Car-Derived/Integral <2000 Kgs","E4","150"
1,"CITROEN","LCVs","Car-Derived/Integral <2000 Kgs","E5","22"
1,"CITROEN","LCVs","Car-Derived/Integral <2000 Kgs","E6","8"
1,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E3","34"
1,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E4","138"
1,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E5","132"
1,"CITROEN","LCVs","Heavy Vans 2601-3500 Kgs","E6","40"
1,"CITROEN","LCVs","Medium Vans 2001-2600 Kgs","E2","2"
1,"CITROEN","LCVs","Medium Vans 2001-2600 Kgs","E4","104"
1,"CITROEN","LCVs","Medium Vans 2001-2600 Kgs","E5","254"
1,"CITROEN","LCVs","Medium Vans 2001-2600 Kgs","E6","66"
1,"CITROEN","","","","2"
1,"COLEMAN MILNE","CARS","exc. Off-Road","E6","2"
1,"DACIA","CARS","exc. Off-Road","E5","74"
1,"DACIA","CARS","exc. Off-Road","E6","202"
1,"DACIA","CARS","Off-Road","E5","58"
1,"DACIA","CARS","Off-Road","E6","6"
1,"DAEWOO","CARS","exc. Off-Road","E2","16"
1,"DAEWOO","CARS","exc. Off-Road","E3","2"
1,"DAEWOO","CARS","exc. Off-Road","","18"
1,"DAEWOO","CARS","Off-Road","","2"
1,"DAF","HCVs","Artics >32520 Kgs - 2 Axle Tractor","E3","2"
1,"DAF","HCVs","Artics >32520 Kgs - 2 Axle Tractor","E4","2"
1,"DAF","HCVs","Artics >32520 Kgs - 2 Axle Tractor","E5","34"
1,"DAF","HCVs","Artics >32520 Kgs - 3 Axle Tractor","E3","2"
1,"DAF","HCVs","Artics >32520 Kgs - 3 Axle Tractor","E4","2"
1,"DAF","HCVs","Artics >32520 Kgs - 3 Axle Tractor","E5","22"
1,"DAF","HCVs","Rigids 2 Axle >15000 Kgs","E3","38"
1,"DAF","HCVs","Rigids 2 Axle >15000 Kgs","E4","40"
1,"DAF","HCVs","Rigids 2 Axle >15000 Kgs","E5","88"
1,"DAF","HCVs","Rigids 2 Axle 12001-15000 Kgs","E3","2"
1,"DAF","HCVs","Rigids 2 Axle 12001-15000 Kgs","E4","16"
1,"DAF","HCVs","Rigids 2 Axle 12001-15000 Kgs","E5","36"
1,"DAF","HCVs","Rigids 2 Axle 7401-7500 Kgs","E3","18"
1,"DAF","HCVs","Rigids 2 Axle 7401-7500 Kgs","E4","8"
1,"DAF","HCVs","Rigids 2 Axle 7401-7500 Kgs","E5","32"
1,"DAF","HCVs","Rigids 2 Axle 7501-12000 Kgs","E3","6"
1,"DAF","HCVs","Rigids 2 Axle 7501-12000 Kgs","E5","12"
1,"DAF","HCVs","Rigids 3 Axle","E2","2"
1,"DAF","HCVs","Rigids 3 Axle","E3","10"
1,"DAF","HCVs","Rigids 3 Axle","E4","20"
1,"DAF","HCVs","Rigids 3 Axle","E5","56"
1,"DAF","HCVs","Rigids 4 Axle","E3","6"
1,"DAF","HCVs","Rigids 4 Axle","E4","8"
